Date,Price,Change %,VIX Level,Average VIX Level,VIX Level Squared,Recent Volatility,Average Recent Volatility,Next Realized Volatility,Average Next Realized Volatility,VIX Premium,Average VIX Premium,MR Volatility,MR Volatility Squared,Difference,Average Difference,Squared Difference,Variance Premium,EVIX,DTM,Volatility Premium,Average Volatility Premium,MR Adjustment,Average MR,VCR,Average VCR,CHECK,% Change Recent Volatility,Average % Change Recent Volatility
1990-03-06,337.90,1.26,20.55,,422.3,12.7,,10.46,,10.09,,13.73,188.49,6.82,,233.82,121.27,17.6,2.95,3.87,3.87,1.03,1.03,3.98,3.98,137.95,2.24,2.24
1990-03-07,336.90,-0.3,19.1,,364.81,12.71,,10.67,,8.43,,13.74,188.78,5.36,,176.03,121.45,17.61,1.49,3.87,3.87,1.03,1.03,2.51,2.51,136.67,2.04,2.04
1990-03-08,340.30,1.01,19.74,,389.67,12.93,,10.55,,9.19,,13.88,192.68,5.86,,196.99,123.87,17.79,1.95,3.91,3.91,0.95,0.95,2.9,2.9,139.7,2.38,2.38
1990-03-09,337.90,-0.71,20.3,,412.09,12.51,,10.9,,9.4,,13.61,185.21,6.69,,226.88,119.23,17.45,2.85,3.84,3.84,1.1,1.1,3.95,3.95,135.7,1.61,1.61
1990-03-12,338.70,0.24,20.07,,402.8,12.5,,10.87,,9.2,,13.6,185.01,6.47,,217.8,119.11,17.44,2.63,3.84,3.84,1.1,1.1,3.73,3.73,135.34,1.63,1.63
1990-03-13,336.00,-0.8,21.05,,443.1,12.76,,10.76,,10.29,,13.77,189.61,7.28,,253.49,121.96,17.65,3.4,3.88,3.88,1.01,1.01,4.41,4.41,139.13,2.0,2.0
1990-03-14,336.90,0.27,19.65,,386.12,12.54,,10.76,,8.89,,13.63,185.78,6.02,,200.34,119.59,17.47,2.18,3.84,3.84,1.09,1.09,3.26,3.26,135.39,1.78,1.78
1990-03-15,338.10,0.36,18.81,,353.82,11.43,,11.15,,7.66,,12.91,166.67,5.9,,187.15,107.72,16.56,2.25,3.65,3.65,1.48,1.48,3.73,3.73,122.87,0.28,0.28
1990-03-16,341.90,1.12,17.62,,310.46,11.79,,10.71,,6.91,,13.15,172.79,4.47,,137.67,111.52,16.86,0.76,3.72,3.72,1.35,1.35,2.11,2.11,125.43,1.08,1.08
1990-03-19,343.50,0.47,18.29,,334.52,11.74,,10.69,,7.6,,13.11,171.89,5.18,,162.64,110.96,16.82,1.47,3.71,3.71,1.37,1.37,2.84,2.84,125.54,1.05,1.05
1990-03-20,341.60,-0.55,19.06,,363.28,11.89,,10.85,,8.21,,13.21,174.41,5.85,,188.88,112.52,16.94,2.12,3.73,3.73,1.32,1.32,3.44,3.44,127.85,1.04,1.04
1990-03-21,339.70,-0.56,20.1,,404.01,11.83,,10.81,,9.29,,13.17,173.52,6.93,,230.49,111.98,16.9,3.2,3.72,3.72,1.34,1.34,4.54,4.54,128.35,1.03,1.03
1990-03-22,335.70,-1.18,22.74,,517.11,11.89,,10.53,,12.21,,13.21,174.47,9.53,,342.64,112.56,16.94,5.8,3.73,3.73,1.32,1.32,7.12,7.12,131.57,1.36,1.36
1990-03-23,337.20,0.45,20.46,,418.61,11.93,,10.6,,9.86,,13.23,175.09,7.23,,243.52,112.95,16.97,3.49,3.74,3.74,1.31,1.31,4.79,4.79,129.67,1.33,1.33
1990-03-26,337.60,0.12,19.59,,383.77,11.92,,10.66,,8.93,,13.23,175.01,6.36,,208.76,112.9,16.97,2.62,3.74,3.74,1.31,1.31,3.93,3.93,128.75,1.26,1.26
1990-03-27,341.50,1.16,21.01,,441.42,11.88,,10.15,,10.86,,13.2,174.35,7.81,,267.07,112.49,16.94,4.07,3.73,3.73,1.32,1.32,5.39,5.39,129.77,1.74,1.74
1990-03-28,342.00,0.15,19.77,,390.85,11.88,,10.17,,9.6,,13.2,174.21,6.57,,216.64,112.4,16.93,2.84,3.73,3.73,1.32,1.32,4.16,4.16,128.44,1.71,1.71
1990-03-29,340.80,-0.35,18.46,,340.77,11.94,,12.2,,6.26,,13.24,175.23,5.22,,165.54,113.03,16.98,1.48,3.74,3.74,1.3,1.3,2.78,2.78,127.75,-0.26,-0.26
1990-03-30,339.90,-0.26,19.73,,389.27,11.74,,12.31,,7.42,,13.11,171.93,6.62,,217.34,110.99,16.82,2.91,3.71,3.71,1.37,1.37,4.28,4.28,127.01,-0.56,-0.56
1990-04-02,338.70,-0.35,22.84,,521.67,11.61,,12.25,,10.59,,13.03,169.75,9.81,,351.92,109.63,16.71,6.13,3.69,3.69,1.42,1.42,7.54,7.54,128.79,-0.64,-0.64
1990-04-03,343.60,1.45,20.44,,417.79,11.42,,11.63,,8.81,,12.9,166.49,7.54,,251.31,107.61,16.56,3.88,3.65,3.65,1.49,1.49,5.37,5.37,124.39,-0.21,-0.21
1990-04-04,341.10,-0.73,22.03,,485.32,11.68,,11.36,,10.67,,13.08,170.98,8.95,,314.34,110.4,16.77,5.26,3.7,3.7,1.39,1.39,6.65,6.65,128.73,0.33,0.33
1990-04-05,340.70,-0.12,21.21,,449.86,11.5,,11.33,,9.88,,12.96,167.84,8.25,,282.02,108.45,16.62,4.59,3.67,3.67,1.46,1.46,6.05,6.05,125.99,0.16,0.16
1990-04-06,340.10,-0.18,21.76,,473.5,11.38,,11.54,,10.22,,12.88,165.91,8.88,,307.59,107.25,16.53,5.23,3.65,3.65,1.5,1.5,6.73,6.73,125.36,-0.16,-0.16
1990-04-09,341.40,0.38,22.3,,497.29,10.77,,11.52,,10.78,,12.48,155.85,9.82,,341.44,101.0,16.03,6.27,3.54,3.54,1.72,1.72,7.99,7.99,119.76,-0.76,-0.76
1990-04-10,342.10,0.21,21.69,,470.46,10.71,,11.52,,10.17,,12.45,155.02,9.24,,315.43,100.49,15.98,5.71,3.53,3.53,1.74,1.74,7.44,7.44,118.64,-0.81,-0.81
1990-04-11,341.90,-0.06,17.73,,314.35,10.67,,11.57,,6.16,,12.42,154.32,5.31,,160.03,100.05,15.95,1.78,3.53,3.53,1.75,1.75,3.53,3.53,114.26,-0.9,-0.9
1990-04-12,344.30,0.7,19.8,,392.04,10.81,,11.97,,7.83,,12.51,156.48,7.29,,235.56,101.39,16.06,3.74,3.55,3.55,1.7,1.7,5.45,5.45,117.64,-1.17,-1.17
1990-04-16,344.70,0.12,20.75,,430.56,10.59,,12.83,,7.92,,12.37,152.96,8.38,,277.6,99.21,15.88,4.87,3.51,3.51,1.78,1.78,6.65,6.65,116.45,-2.24,-2.24
1990-04-17,344.70,0.0,20.38,,415.34,10.42,,12.82,,7.56,,12.26,150.33,8.12,,265.02,97.57,15.74,4.64,3.48,3.48,1.84,1.84,6.48,6.48,114.47,-2.4,-2.4
1990-04-18,340.70,-1.16,22.67,,513.93,10.46,,12.21,,10.46,,12.29,150.97,10.38,,362.96,97.97,15.78,6.89,3.49,3.49,1.83,1.83,8.72,8.72,117.15,-1.74,-1.74
1990-04-19,338.10,-0.76,22.46,,504.45,10.67,,11.9,,10.56,,12.42,154.3,10.04,,350.15,100.04,15.95,6.51,3.53,3.53,1.75,1.75,8.26,8.26,118.97,-1.23,-1.23
1990-04-20,335.10,-0.89,23.33,,544.29,10.55,,11.69,,11.64,,12.34,152.39,10.99,,391.9,98.85,15.85,7.48,3.51,3.51,1.79,1.79,9.27,9.27,118.68,-1.14,-1.14
1990-04-23,331.10,-1.19,24.16,,583.71,10.9,,10.92,,13.24,,12.57,157.97,11.59,,425.74,102.32,16.13,8.03,3.56,3.56,1.67,1.67,9.7,9.7,122.91,-0.02,-0.02
1990-04-24,330.40,-0.21,21.7,,470.89,10.87,,11.04,,10.66,,12.55,157.46,9.15,,313.43,102.0,16.11,5.59,3.56,3.56,1.68,1.68,7.27,7.27,120.14,-0.17,-0.17
1990-04-25,332.00,0.48,20.86,,435.14,10.76,,11.3,,9.56,,12.48,155.77,8.38,,279.37,100.95,16.02,4.84,3.54,3.54,1.72,1.72,6.56,6.56,118.27,-0.54,-0.54
1990-04-26,332.90,0.27,20.25,,410.06,10.76,,12.12,,8.13,,12.48,155.77,7.77,,254.29,100.95,16.02,4.23,3.54,3.54,1.72,1.72,5.95,5.95,117.66,-1.36,-1.36
1990-04-27,329.10,-1.14,22.19,,492.4,11.15,,11.48,,10.71,,12.73,162.12,9.46,,330.28,104.89,16.34,5.85,3.61,3.61,1.58,1.58,7.43,7.43,123.47,-0.32,-0.32
1990-04-30,330.80,0.52,19.52,,381.03,10.71,,11.79,,7.73,,12.45,155.02,7.07,,226.01,100.48,15.98,3.54,3.53,3.53,1.74,1.74,5.27,5.27,116.47,-1.08,-1.08
1990-05-01,332.20,0.42,18.43,,339.66,10.69,,11.96,,6.47,,12.44,154.66,5.99,,185.01,100.26,15.97,2.46,3.53,3.53,1.74,1.74,4.21,4.21,115.16,-1.27,-1.27
1990-05-02,334.50,0.69,19.32,,373.26,10.85,,12.16,,7.16,,12.54,157.2,6.78,,216.06,101.84,16.09,3.23,3.56,3.56,1.69,1.69,4.91,4.91,117.6,-1.31,-1.31
1990-05-03,335.60,0.33,17.81,,317.2,10.81,,12.19,,5.62,,12.51,156.48,5.3,,160.72,101.39,16.06,1.75,3.55,3.55,1.7,1.7,3.46,3.46,115.65,-1.38,-1.38
1990-05-04,338.40,0.83,17.28,,298.6,10.53,,13.26,,4.02,,12.33,152.0,4.95,,146.6,98.61,15.83,1.45,3.5,3.5,1.8,1.8,3.25,3.25,112.39,-2.73,-2.73
1990-05-07,340.50,0.62,17.65,,311.52,10.6,,13.22,,4.43,,12.37,153.12,5.28,,158.4,99.31,15.89,1.76,3.51,3.51,1.78,1.78,3.54,3.54,113.44,-2.62,-2.62
1990-05-08,342.00,0.44,18.49,,341.88,10.66,,13.2,,5.29,,12.41,154.12,6.08,,187.76,99.93,15.94,2.55,3.52,3.52,1.76,1.76,4.31,4.31,114.9,-2.54,-2.54
1990-05-09,342.90,0.26,18.64,,347.45,10.15,,13.21,,5.43,,12.09,146.06,6.55,,201.39,94.92,15.52,3.12,3.44,3.44,1.94,1.94,5.05,5.05,110.12,-3.06,-3.06
1990-05-10,343.80,0.26,18.59,,345.59,10.17,,13.98,,4.61,,12.1,146.33,6.49,,199.25,95.09,15.54,3.05,3.44,3.44,1.93,1.93,4.98,4.98,110.24,-3.81,-3.81
1990-05-11,352.00,2.39,19.81,,392.44,12.2,,12.48,,7.33,,13.41,179.76,6.4,,212.68,115.85,17.19,2.62,3.79,3.79,1.21,1.21,3.83,3.83,131.87,-0.28,-0.28
1990-05-14,354.80,0.8,20.14,,405.62,12.31,,12.25,,7.89,,13.48,181.61,6.66,,224.01,116.99,17.28,2.86,3.8,3.8,1.17,1.17,4.03,4.03,133.33,0.06,0.06
1990-05-15,354.30,-0.14,19.49,,379.86,12.25,,12.5,,6.99,,13.44,180.59,6.05,,199.27,116.36,17.23,2.26,3.79,3.79,1.19,1.19,3.45,3.45,132.06,-0.25,-0.25
1990-05-16,354.00,-0.08,17.71,,313.64,11.63,,12.65,,5.06,,13.04,169.99,4.67,,143.65,109.78,16.73,0.98,3.69,3.69,1.41,1.41,2.4,2.4,123.8,-1.03,-1.03
1990-05-17,354.50,0.14,17.27,,298.25,11.36,,12.65,,4.62,,12.86,165.47,4.41,,132.78,106.98,16.51,0.76,3.64,3.64,1.51,1.51,2.27,2.27,120.6,-1.3,-1.3
1990-05-18,354.60,0.03,17.2,,295.84,11.33,,12.7,,4.5,,12.85,165.13,4.35,,130.71,106.77,16.49,0.71,3.64,3.64,1.52,1.52,2.23,2.23,120.33,-1.37,-1.37
1990-05-21,358.00,0.96,16.72,,279.56,11.54,,12.41,,4.31,,12.98,168.52,3.74,,111.04,108.87,16.66,0.06,3.67,3.67,1.44,1.44,1.51,1.51,121.92,-0.87,-0.87
1990-05-22,358.40,0.11,17.84,,318.27,11.52,,12.94,,4.9,,12.97,168.26,4.87,,150.0,108.71,16.64,1.2,3.67,3.67,1.45,1.45,2.65,2.65,122.88,-1.42,-1.42
1990-05-23,359.30,0.25,17.18,,295.15,11.52,,13.12,,4.06,,12.97,168.3,4.21,,126.86,108.73,16.64,0.54,3.67,3.67,1.45,1.45,1.98,1.98,122.24,-1.6,-1.6
1990-05-24,358.40,-0.25,17.7,,313.29,11.57,,13.13,,4.57,,13.0,169.06,4.7,,144.23,109.2,16.68,1.02,3.68,3.68,1.43,1.43,2.45,2.45,123.22,-1.56,-1.56
1990-05-25,354.60,-1.06,17.32,,299.98,11.97,,12.98,,4.34,,13.26,175.89,4.06,,124.09,113.45,17.01,0.31,3.75,3.75,1.29,1.29,1.6,1.6,127.02,-1.01,-1.01
1990-05-29,360.60,1.69,18.75,,351.56,12.83,,12.61,,6.14,,13.81,190.82,4.94,,160.75,122.71,17.71,1.04,3.89,3.89,0.98,0.98,2.03,2.03,137.57,0.22,0.22
1990-05-30,360.90,0.08,17.44,,304.15,12.82,,13.04,,4.4,,13.81,190.71,3.63,,113.45,122.65,17.7,-0.26,3.89,3.89,0.99,0.99,0.72,0.72,136.19,-0.22,-0.22
1990-05-31,361.20,0.08,17.37,,301.72,12.21,,13.12,,4.25,,13.41,179.87,3.96,,121.84,115.92,17.2,0.17,3.79,3.79,1.21,1.21,1.38,1.38,129.5,-0.91,-0.91
1990-06-01,363.20,0.55,17.09,,292.07,11.9,,13.08,,4.01,,13.21,174.61,3.88,,117.45,112.65,16.95,0.14,3.73,3.73,1.31,1.31,1.46,1.46,126.01,-1.18,-1.18
1990-06-04,367.40,1.16,18.39,,338.19,11.69,,12.71,,5.68,,13.08,171.02,5.31,,167.17,110.42,16.78,1.61,3.7,3.7,1.39,1.39,3.0,3.0,125.11,-1.02,-1.02
1990-06-05,366.60,-0.22,18.97,,359.86,10.92,,12.96,,6.01,,12.58,158.3,6.39,,201.56,102.53,16.15,2.82,3.57,3.57,1.66,1.66,4.48,4.48,117.93,-2.05,-2.05
1990-06-06,365.00,-0.44,17.42,,303.46,11.04,,12.93,,4.49,,12.66,160.27,4.76,,143.19,103.75,16.25,1.17,3.59,3.59,1.62,1.62,2.79,2.79,117.58,-1.89,-1.89
1990-06-07,363.10,-0.52,16.88,,284.93,11.3,,13.18,,3.7,,12.83,164.58,4.05,,120.35,106.42,16.46,0.42,3.63,3.63,1.53,1.53,1.95,1.95,119.67,-1.88,-1.88
1990-06-08,358.70,-1.21,17.58,,309.06,12.12,,13.68,,3.9,,13.36,178.42,4.22,,130.64,115.01,17.13,0.45,3.77,3.77,1.24,1.24,1.69,1.69,128.82,-1.56,-1.56
1990-06-11,361.60,0.81,16.34,,267.0,11.48,,13.46,,2.88,,12.94,167.48,3.4,,99.51,108.22,16.6,-0.26,3.66,3.66,1.47,1.47,1.2,1.2,120.9,-1.98,-1.98
1990-06-12,366.20,1.27,16.6,,275.56,11.79,,12.94,,3.66,,13.15,172.81,3.45,,102.75,111.53,16.86,-0.26,3.72,3.72,1.35,1.35,1.09,1.09,124.42,-1.14,-1.14
1990-06-13,364.90,-0.36,17.38,,302.06,11.96,,12.93,,4.45,,13.26,175.71,4.12,,126.35,113.33,17.0,0.38,3.75,3.75,1.29,1.29,1.67,1.67,126.97,-0.97,-0.97
1990-06-14,362.90,-0.55,17.4,,302.76,12.16,,12.99,,4.41,,13.39,179.16,4.01,,123.6,115.48,17.17,0.23,3.78,3.78,1.22,1.22,1.46,1.46,129.1,-0.82,-0.82
1990-06-15,362.90,0.0,15.9,,252.81,12.19,,13.14,,2.76,,13.4,179.58,2.5,,73.23,115.74,17.18,-1.28,3.78,3.78,1.21,1.21,-0.07,-0.07,127.86,-0.96,-0.96
1990-06-18,356.90,-1.65,17.71,,313.64,13.26,,12.26,,5.45,,14.09,198.55,3.62,,115.09,127.52,18.06,-0.35,3.97,3.97,0.83,0.83,0.48,0.48,141.26,1.0,1.0
1990-06-19,358.50,0.45,15.23,,231.95,13.22,,12.19,,3.04,,14.07,197.83,1.16,,34.13,127.07,18.02,-2.79,3.96,3.96,0.85,0.85,-1.95,-1.95,138.34,1.03,1.03
1990-06-20,359.10,0.17,15.27,,233.17,13.2,,12.59,,2.68,,14.05,197.39,1.22,,35.78,126.8,18.01,-2.74,3.96,3.96,0.85,0.85,-1.88,-1.88,138.11,0.61,0.61
1990-06-21,360.50,0.39,14.72,,216.68,13.21,,13.55,,1.17,,14.06,197.64,0.66,,19.04,126.95,18.02,-3.3,3.96,3.96,0.85,0.85,-2.45,-2.45,137.71,-0.34,-0.34
1990-06-22,355.40,-1.41,19.36,,374.81,13.98,,15.55,,3.81,,14.55,211.76,4.81,,163.05,135.72,18.64,0.72,4.09,4.09,0.58,0.58,1.3,1.3,150.99,-1.58,-1.58
1990-06-25,352.30,-0.87,17.06,,291.04,12.48,,15.45,,1.61,,13.59,184.59,3.47,,106.46,118.84,17.42,-0.36,3.83,3.83,1.11,1.11,0.75,0.75,132.07,-2.97,-2.97
1990-06-26,352.10,-0.06,16.29,,265.36,12.25,,15.86,,0.43,,13.44,180.6,2.85,,84.76,116.37,17.23,-0.94,3.79,3.79,1.19,1.19,0.25,0.25,128.87,-3.61,-3.61
1990-06-27,355.10,0.85,16.0,,256.0,12.5,,15.68,,0.32,,13.6,184.98,2.4,,71.02,119.09,17.44,-1.44,3.84,3.84,1.1,1.1,-0.34,-0.34,131.25,-3.19,-3.19
1990-06-28,357.60,0.7,16.18,,261.79,12.65,,15.82,,0.36,,13.7,187.7,2.48,,74.1,120.78,17.56,-1.38,3.86,3.86,1.05,1.05,-0.34,-0.34,133.09,-3.16,-3.16
1990-06-29,358.00,0.11,15.5,,240.25,12.65,,16.17,,-0.67,,13.7,187.66,1.8,,52.59,120.76,17.56,-2.06,3.86,3.86,1.05,1.05,-1.01,-1.01,132.39,-3.51,-3.51
1990-07-02,359.50,0.42,16.26,,264.39,12.7,,16.1,,0.16,,13.73,188.53,2.53,,75.86,121.29,17.6,-1.34,3.87,3.87,1.03,1.03,-0.31,-0.31,133.68,-3.4,-3.4
1990-07-03,360.20,0.19,16.11,,259.53,12.41,,16.11,,0.0,,13.55,183.48,2.56,,76.06,118.16,17.37,-1.26,3.82,3.82,1.13,1.13,-0.13,-0.13,130.44,-3.69,-3.69
1990-07-05,355.70,-1.25,17.25,,297.56,12.94,,16.93,,0.32,,13.89,192.87,3.36,,104.69,123.99,17.8,-0.55,3.91,3.91,0.94,0.94,0.39,0.39,137.33,-3.99,-3.99
1990-07-06,358.40,0.76,16.41,,269.29,13.12,,16.99,,-0.58,,14.0,196.04,2.41,,73.24,125.96,17.94,-1.53,3.94,3.94,0.88,0.88,-0.65,-0.65,138.43,-3.87,-3.87
1990-07-09,359.50,0.31,16.66,,277.56,13.13,,16.96,,-0.3,,14.01,196.22,2.65,,81.34,126.07,17.95,-1.29,3.94,3.94,0.88,0.88,-0.42,-0.42,138.78,-3.83,-3.83
1990-07-10,356.50,-0.83,16.92,,286.29,12.98,,17.62,,-0.7,,13.91,193.57,3.01,,92.72,124.42,17.83,-0.91,3.92,3.92,0.93,0.93,0.02,0.02,137.42,-4.64,-4.64
1990-07-11,361.20,1.32,16.68,,278.22,12.61,,17.3,,-0.62,,13.67,186.91,3.01,,91.31,120.29,17.53,-0.85,3.86,3.86,1.06,1.06,0.22,0.22,133.11,-4.69,-4.69
1990-07-12,365.40,1.16,17.06,,291.04,13.04,,18.15,,-1.09,,13.95,194.65,3.11,,96.4,125.09,17.88,-0.82,3.93,3.93,0.91,0.91,0.09,0.09,138.22,-5.11,-5.11
1990-07-13,367.30,0.52,17.09,,292.07,13.12,,18.81,,-1.72,,14.0,195.95,3.09,,96.11,125.9,17.94,-0.85,3.94,3.94,0.88,0.88,0.03,0.03,139.05,-5.69,-5.69
1990-07-16,368.90,0.44,16.75,,280.56,13.08,,21.53,,-4.78,,13.98,195.38,2.77,,85.19,125.55,17.91,-1.16,3.94,3.94,0.89,0.89,-0.27,-0.27,138.36,-8.44,-8.44
1990-07-17,367.50,-0.38,16.66,,277.56,12.71,,21.56,,-4.9,,13.74,188.7,2.92,,88.86,121.4,17.61,-0.95,3.87,3.87,1.03,1.03,0.08,0.08,134.19,-8.85,-8.85
1990-07-18,364.20,-0.9,18.9,,357.21,12.96,,21.86,,-2.96,,13.9,193.23,5.0,,163.98,124.21,17.82,1.08,3.92,3.92,0.94,0.94,2.02,2.02,139.2,-8.89,-8.89
1990-07-19,365.30,0.3,18.56,,344.47,12.93,,22.08,,-3.52,,13.88,192.66,4.68,,151.81,123.86,17.79,0.77,3.91,3.91,0.95,0.95,1.72,1.72,138.51,-9.15,-9.15
1990-07-20,361.60,-1.01,15.63,,244.3,13.18,,22.53,,-6.9,,14.04,197.14,1.59,,47.16,126.64,17.99,-2.36,3.95,3.95,0.86,0.86,-1.5,-1.5,138.32,-9.35,-9.35
1990-07-23,355.30,-1.74,23.68,,560.74,13.68,,22.19,,1.49,,14.36,206.28,9.32,,354.46,132.32,18.4,5.28,4.04,4.04,0.68,0.68,5.96,5.96,151.96,-8.51,-8.51
1990-07-24,355.80,0.14,21.79,,474.8,13.46,,22.25,,-0.46,,14.22,202.22,7.57,,272.59,129.79,18.22,3.57,4.0,4.0,0.76,0.76,4.33,4.33,147.58,-8.79,-8.79
1990-07-25,357.10,0.37,20.19,,407.64,12.94,,22.31,,-2.12,,13.88,192.71,6.31,,214.92,123.89,17.79,2.4,3.91,3.91,0.95,0.95,3.34,3.34,140.17,-9.37,-9.37
